,elizabeth,darcy,bennet,jane,bingley,wickham,collins,lydia,gardiner,lizzy
elizabeth,0.0,0.006156886785745109,0.00681333456421323,0.0018237131524106809,0.010490342133080081,0.004557775131999748,0.003255021834764576,0.00411178301942557,0.0009173164854131309,0.001846097249932844
darcy,0.006156886785745109,0.0,0.026572210197519576,0.020035506384642198,0.014096612774735721,0.01568912326116483,0.02586568493042156,0.02691918812568591,0.0122089016845878,0.0053694294558090305
bennet,0.00681333456421323,0.026572210197519576,0.0,0.03346244985219742,0.015852446657888333,0.0556770495440708,0.05342728739035096,0.03948295777817823,0.04615936669035797,0.0034826230209497526
jane,0.0018237131524106809,0.020035506384642198,0.03346244985219742,0.0,0.055592909827078554,0.029015193736059427,0.07844547859273185,0.020029661664879354,0.029252814189559877,0.0036087041493456746
bingley,0.010490342133080081,0.014096612774735721,0.015852446657888333,0.055592909827078554,0.0,0.1360097466216113,0.10903375849547224,0.12649572828371283,0.09170625522878936,0.012741076634172193
wickham,0.004557775131999748,0.01568912326116483,0.0556770495440708,0.029015193736059427,0.1360097466216113,0.0,0.1337191285362924,0.03420122525677065,0.031944943070622296,0.04041416037740008
collins,0.003255021834764576,0.02586568493042156,0.05342728739035096,0.07844547859273185,0.10903375849547224,0.1337191285362924,0.0,0.2003130432487834,0.1557987141281767,0.12227499577605966
lydia,0.00411178301942557,0.02691918812568591,0.03948295777817823,0.020029661664879354,0.12649572828371283,0.03420122525677065,0.2003130432487834,0.0,0.03200746674625221,0.03629631956277244
gardiner,0.0009173164854131309,0.0122089016845878,0.04615936669035797,0.029252814189559877,0.09170625522878936,0.031944943070622296,0.1557987141281767,0.03200746674625221,0.0,0.15973059291661795
lizzy,0.001846097249932844,0.0053694294558090305,0.0034826230209497526,0.0036087041493456746,0.012741076634172193,0.04041416037740008,0.12227499577605966,0.03629631956277244,0.15973059291661795,0.0
