,elizabeth,darcy,bennet,jane,bingley,wickham,collins,lydia,gardiner,lizzy
elizabeth,0.0,0.00594802454597929,0.005736786544431772,0.0017746573232763068,0.008216115580344584,0.0048504289734819465,0.003140521320548292,0.0044808431653572635,0.0010282595126449032,0.0017851619067351793
darcy,0.00594802454597929,0.0,0.025800285773539808,0.021004323141863547,0.011927794182859129,0.017553884355857353,0.025618419839888638,0.03008126024569792,0.013838326734000043,0.005354254394630307
bennet,0.005736786544431772,0.025800285773539808,0.0,0.032745317399592,0.014242710915777236,0.06112796050899501,0.054991952415286774,0.045015689650573947,0.05234975231097975,0.0037676584155859035
jane,0.0017746573232763068,0.021004323141863547,0.032745317399592,0.0,0.04964213877641845,0.030887944630680446,0.08079155810130335,0.022277839854501186,0.033257163585347735,0.003680393043204107
bingley,0.008216115580344584,0.011927794182859129,0.014242710915777236,0.04964213877641845,0.0,0.13772840382914378,0.10654596797706917,0.13296556967507117,0.10405917122525939,0.013996155660106075
wickham,0.0048504289734819465,0.017553884355857353,0.06112796050899501,0.030887944630680446,0.13772840382914378,0.0,0.1411992376788495,0.035613078779518116,0.03606002590297225,0.041298198932218304
collins,0.003140521320548292,0.025618419839888638,0.054991952415286774,0.08079155810130335,0.10654596797706917,0.1411992376788495,0.0,0.21155452567624639,0.1690395054241416,0.12955488810903357
lydia,0.0044808431653572635,0.03008126024569792,0.045015689650573947,0.022277839854501186,0.13296556967507117,0.035613078779518116,0.21155452567624639,0.0,0.03514410527750354,0.03752903285412156
gardiner,0.0010282595126449032,0.013838326734000043,0.05234975231097975,0.033257163585347735,0.10405917122525939,0.03606002590297225,0.1690395054241416,0.03514410527750354,0.0,0.1692846210262476
lizzy,0.0017851619067351793,0.005354254394630307,0.0037676584155859035,0.003680393043204107,0.013996155660106075,0.041298198932218304,0.12955488810903357,0.03752903285412156,0.1692846210262476,0.0
