,elinor,marianne,edward,jennings,willoughby,dashwood,lucy,brandon,john,ferrars
elinor,0.0,0.011130730003760438,0.0036912111958308526,0.0012257863115275474,0.0029548995047315304,0.0018864894967117534,0.002660318791020523,0.0010699960668840841,0.0031664676628153855,0.0009631706978396999
marianne,0.011130730003760438,0.0,0.013711904586576269,0.005251416702986581,0.0015501308752065713,0.0034575193243386016,0.018881114433266084,0.003944565780473745,0.0059438470039346256,0.007689478973147829
edward,0.0036912111958308526,0.013711904586576269,0.0,0.06926044377318784,0.11113787623114965,0.0641319851765698,0.014958117076736171,0.02640542127965215,0.026431269632379746,0.0033163667005035725
jennings,0.0012257863115275474,0.005251416702986581,0.06926044377318784,0.0,0.10352525894798295,0.08355772266588991,0.048077603499437245,0.025223025511127612,0.045991623238043476,0.024767699825271296
willoughby,0.0029548995047315304,0.0015501308752065713,0.11113787623114965,0.10352525894798295,0.0,0.05501918966439897,0.12793935062184697,0.050341624086015606,0.029284498414581098,0.08009258212659105
dashwood,0.0018864894967117534,0.0034575193243386016,0.0641319851765698,0.08355772266588991,0.05501918966439897,0.0,0.0962537496897268,0.019438274319989565,0.019756789042791528,0.03229951952223336
lucy,0.002660318791020523,0.018881114433266084,0.014958117076736171,0.048077603499437245,0.12793935062184697,0.0962537496897268,0.0,0.07269778423672009,0.1293351664813832,0.008312537912337357
brandon,0.0010699960668840841,0.003944565780473745,0.02640542127965215,0.025223025511127612,0.050341624086015606,0.019438274319989565,0.07269778423672009,0.0,0.11598257102642653,0.04247180490115542
john,0.0031664676628153855,0.0059438470039346256,0.026431269632379746,0.045991623238043476,0.029284498414581098,0.019756789042791528,0.1293351664813832,0.11598257102642653,0.0,0.2806958402477512
ferrars,0.0009631706978396999,0.007689478973147829,0.0033163667005035725,0.024767699825271296,0.08009258212659105,0.03229951952223336,0.008312537912337357,0.04247180490115542,0.2806958402477512,0.0
