,elinor,marianne,edward,jennings,willoughby,dashwood,lucy,brandon,john,ferrars
elinor,0.0,0.011031492554311767,0.0038332559217153614,0.001252955044274559,0.0028487500819252905,0.0017241617577287871,0.002760427684685391,0.001068921123015935,0.0029768717464456395,0.0010164094048448534
marianne,0.011031492554311767,0.0,0.014374083970617412,0.005487768545173809,0.001521794329042414,0.0032255140358159705,0.019428976674396376,0.004087021233109922,0.00576038057365877,0.00806270357742418
edward,0.0038332559217153614,0.014374083970617412,0.0,0.07181718140821228,0.11150450378645452,0.06308972386099529,0.0151258339023566,0.02651028643627915,0.02518872212055033,0.003470531861338072
jennings,0.001252955044274559,0.005487768545173809,0.07181718140821228,0.0,0.10394688649411422,0.08225916063138128,0.04997700601655858,0.026197083863455022,0.04445810861466932,0.02610344281802385
willoughby,0.0028487500819252905,0.001521794329042414,0.11150450378645452,0.10394688649411422,0.0,0.05439935884955927,0.1302132516490946,0.05233196898017495,0.02851097185553797,0.08398422723591394
dashwood,0.0017241617577287871,0.0032255140358159705,0.06308972386099529,0.08225916063138128,0.05439935884955927,0.0,0.09712110353349582,0.01997066873226847,0.019146254669270293,0.034280414379984685
lucy,0.002760427684685391,0.019428976674396376,0.0151258339023566,0.04997700601655858,0.1302132516490946,0.09712110353349582,0.0,0.07355974677492337,0.1271000300325111,0.008656872999149814
brandon,0.001068921123015935,0.004087021233109922,0.02651028643627915,0.026197083863455022,0.05233196898017495,0.01997066873226847,0.07355974677492337,0.0,0.11663364374104197,0.04445160112575955
john,0.0029768717464456395,0.00576038057365877,0.02518872212055033,0.04445810861466932,0.02851097185553797,0.019146254669270293,0.1271000300325111,0.11663364374104197,0.0,0.2854049460702736
ferrars,0.0010164094048448534,0.00806270357742418,0.003470531861338072,0.02610344281802385,0.08398422723591394,0.034280414379984685,0.008656872999149814,0.04445160112575955,0.2854049460702736,0.0
