,archy,ferguson,stillman,ham sandwich,flint buckner,buckner,sherlock holmes,holmes,fetlock jones,hillyer
archy,0.0,0.09249474525087026,0.06004072916010005,0.048999631392370374,0.06112052200529202,0.1368003931929154,0.08349877306175187,0.043103875060953575,0.06092061774552725,0.07681354997331777
ferguson,0.09249474525087026,0.0,0.11637814316501044,0.026389148311766645,0.05819432709004358,0.049308088557458114,0.10154892168877264,0.09207657659033183,0.09281947420250368,0.14402828106098486
stillman,0.06004072916010005,0.11637814316501044,0.0,0.07719623089854495,0.09643071932353074,0.1596394995825159,0.09514464266714895,0.06227114567203642,0.05299064714457987,0.07491946261465632
ham sandwich,0.048999631392370374,0.026389148311766645,0.07719623089854495,0.0,0.055083073076061674,0.0895368149819617,0.05767841749602115,0.054258590573359876,0.05001266542899033,0.09379929957150171
flint buckner,0.06112052200529202,0.05819432709004358,0.09643071932353074,0.055083073076061674,0.0,0.0921214907812269,0.06125386177404708,0.0852653139220154,0.06747567230566427,0.08991370147422909
buckner,0.1368003931929154,0.049308088557458114,0.1596394995825159,0.0895368149819617,0.0921214907812269,0.0,0.23698453922876278,0.23251292028433782,0.16959337623126577,0.18533686577959288
sherlock holmes,0.08349877306175187,0.10154892168877264,0.09514464266714895,0.05767841749602115,0.06125386177404708,0.23698453922876278,0.0,0.03616711836568797,0.04707939305506292,0.05479711632002327
holmes,0.043103875060953575,0.09207657659033183,0.06227114567203642,0.054258590573359876,0.0852653139220154,0.23251292028433782,0.03616711836568797,0.0,0.04933792265882044,0.05231742729238918
fetlock jones,0.06092061774552725,0.09281947420250368,0.05299064714457987,0.05001266542899033,0.06747567230566427,0.16959337623126577,0.04707939305506292,0.04933792265882044,0.0,0.04885979911916305
hillyer,0.07681354997331777,0.14402828106098486,0.07491946261465632,0.09379929957150171,0.08991370147422909,0.18533686577959288,0.05479711632002327,0.05231742729238918,0.04885979911916305,0.0
