,archy,ferguson,stillman,ham sandwich,flint buckner,buckner,sherlock holmes,holmes,fetlock jones,hillyer
archy,0.0,0.09274777632883655,0.06273081057416109,0.05152032447605478,0.06365516161077078,0.1409251437854273,0.08931638911254339,0.046125744495731334,0.06462658203099113,0.08111271398093091
ferguson,0.09274777632883655,0.0,0.12129490704462076,0.02774833514038256,0.06049675612286064,0.05019280728209665,0.10797860988080786,0.0978742745741263,0.09812886680446306,0.15188731878125356
stillman,0.06273081057416109,0.12129490704462076,0.0,0.08151150488193273,0.1009616147532457,0.16342046045212488,0.1015669390550437,0.06622781571042538,0.05608930553623197,0.0790749599344411
ham sandwich,0.05152032447605478,0.02774833514038256,0.08151150488193273,0.0,0.05747566463667225,0.09160679035740607,0.061541580907833106,0.05770578625550384,0.052986851191172454,0.09899351592470891
flint buckner,0.06365516161077078,0.06049675612286064,0.1009616147532457,0.05747566463667225,0.0,0.09479821502925545,0.06545805984331715,0.09066510021430034,0.0718196579796691,0.09595226243116825
buckner,0.1409251437854273,0.05019280728209665,0.16342046045212488,0.09160679035740607,0.09479821502925545,0.0,0.24766212853222663,0.24276595212497618,0.1778818168906284,0.19498825914149256
sherlock holmes,0.08931638911254339,0.10797860988080786,0.1015669390550437,0.061541580907833106,0.06545805984331715,0.24766212853222663,0.0,0.038524901069492454,0.04982689528202449,0.057251021759777296
holmes,0.046125744495731334,0.0978742745741263,0.06622781571042538,0.05770578625550384,0.09066510021430034,0.24276595212497618,0.038524901069492454,0.0,0.052175537954417824,0.05479430276844614
fetlock jones,0.06462658203099113,0.09812886680446306,0.05608930553623197,0.052986851191172454,0.0718196579796691,0.1778818168906284,0.04982689528202449,0.052175537954417824,0.0,0.051418545191296024
hillyer,0.08111271398093091,0.15188731878125356,0.0790749599344411,0.09899351592470891,0.09595226243116825,0.19498825914149256,0.057251021759777296,0.05479430276844614,0.051418545191296024,0.0
