,slade,higbie,ballou,winters,carson,jack,williams,smith,cook,hank monk
slade,0.0,0.32640694464989345,0.22968489461120814,0.8327666198064517,0.1944704184977585,0.21303254565264776,0.518843605017203,0.37340751601162114,0.6956958194848237,0.10819031728091315
higbie,0.32640694464989345,0.0,0.09186187780794029,0.5032117645497874,0.1416096545800952,0.1535136756125929,0.18314990041097778,0.17489853814969278,0.3631681392722144,0.20051357344455464
ballou,0.22968489461120814,0.09186187780794029,0.0,0.5995922740361576,0.045591893028221274,0.1893847054218915,0.28199333938683896,0.19357853529462948,0.4520522043007597,0.09699177156673354
winters,0.8327666198064517,0.5032117645497874,0.5995922740361576,0.0,0.6323633255832244,0.5930260182650634,0.30235534613247333,0.3686235292787632,0.12641194533020564,0.7164803148797542
carson,0.1944704184977585,0.1416096545800952,0.045591893028221274,0.6323633255832244,0.0,0.1676123822384823,0.31061114346388613,0.18150887238563357,0.456816440792541,0.0452259910322535
jack,0.21303254565264776,0.1535136756125929,0.1893847054218915,0.5930260182650634,0.1676123822384823,0.0,0.2758004678554738,0.12441018228135466,0.3692637818420597,0.2246348847281254
williams,0.518843605017203,0.18314990041097778,0.28199333938683896,0.30235534613247333,0.31061114346388613,0.2758004678554738,0.0,0.11030258854950112,0.14204801615263735,0.37436131510068826
smith,0.37340751601162114,0.17489853814969278,0.19357853529462948,0.3686235292787632,0.18150887238563357,0.12441018228135466,0.11030258854950112,0.0,0.22132063397021706,0.2334165824270612
cook,0.6956958194848237,0.3631681392722144,0.4520522043007597,0.12641194533020564,0.456816440792541,0.3692637818420597,0.14204801615263735,0.22132063397021706,0.0,0.5873680708115286
hank monk,0.10819031728091315,0.20051357344455464,0.09699177156673354,0.7164803148797542,0.0452259910322535,0.2246348847281254,0.37436131510068826,0.2334165824270612,0.5873680708115286,0.0
