,jim,tom,huck,sally,mary jane,tom sawyer,watson,dey,sid,huck finn
jim,0.0,0.01736916381459229,0.000720563964549434,0.005417538500180252,0.06513215272211736,0.004724697609726538,0.0036356109709965705,0.0011029565509619564,0.0062340322001203305,0.002115924320193948
tom,0.01736916381459229,0.0,0.07264372271523986,0.0018556990157722,0.18013940287343774,0.014165206180004188,0.01612641098848015,0.0422112608095102,0.003931934885466726,0.008656780042567612
huck,0.000720563964549434,0.07264372271523986,0.0,0.35120449841948037,0.2297660852178632,0.08566050097844398,0.07983758921945681,0.009256522221560344,0.09473012418845578,0.014291996991138955
sally,0.005417538500180252,0.0018556990157722,0.35120449841948037,0.0,0.28345718506078804,0.3512770561711163,0.5265126100927826,0.36046860126218105,0.015387017006200687,0.1705797658577661
mary jane,0.06513215272211736,0.18013940287343774,0.2297660852178632,0.28345718506078804,0.0,0.3029480729029114,0.38990792572520505,0.29977541222031867,0.2954838039700773,0.2681208730106684
tom sawyer,0.004724697609726538,0.014165206180004188,0.08566050097844398,0.3512770561711163,0.3029480729029114,0.0,0.00871877886799322,0.08370947329894385,0.06802865064668948,0.007587328040810013
watson,0.0036356109709965705,0.01612641098848015,0.07983758921945681,0.5265126100927826,0.38990792572520505,0.00871877886799322,0.0,0.13996659118210814,0.5290574199514211,0.14962148560073735
dey,0.0011029565509619564,0.0422112608095102,0.009256522221560344,0.36046860126218105,0.29977541222031867,0.08370947329894385,0.13996659118210814,0.0,0.4128288882679415,0.09688081398741422
sid,0.0062340322001203305,0.003931934885466726,0.09473012418845578,0.015387017006200687,0.2954838039700773,0.06802865064668948,0.5290574199514211,0.4128288882679415,0.0,0.2521596226037968
huck finn,0.002115924320193948,0.008656780042567612,0.014291996991138955,0.1705797658577661,0.2681208730106684,0.007587328040810013,0.14962148560073735,0.09688081398741422,0.2521596226037968,0.0
