,tom,huck,joe,becky,sid,mary,polly,tom sawyer,potter,thatcher
tom,0.0,0.004572938620641983,0.0013773526629437289,0.0004214155839568112,0.00042434206238771763,0.0007583776757125843,0.0004242195161572677,0.0010765350349113433,0.004025207583548719,0.002041192670680329
huck,0.004572938620641983,0.0,0.04931973939879815,0.036663116300550476,0.12378562377091856,0.07718481279073929,0.04092646087584113,0.01274515887134179,0.022035626589066083,0.009379495275470386
joe,0.0013773526629437289,0.04931973939879815,0.0,0.1197006710393034,0.08827888312054248,0.06432063032223727,0.040568316384209394,0.025393848755165132,0.011027328992240949,0.02651947867059466
becky,0.0004214155839568112,0.036663116300550476,0.1197006710393034,0.0,0.31133830664697726,0.13683261420263754,0.0623967170582976,0.0215245031499163,0.07142646598553536,0.006304010810452982
sid,0.00042434206238771763,0.12378562377091856,0.08827888312054248,0.31133830664697726,0.0,0.00882929620303331,0.009912886388328752,0.024689025996902914,0.0533295550819177,0.1466248359394325
mary,0.0007583776757125843,0.07718481279073929,0.06432063032223727,0.13683261420263754,0.00882929620303331,0.0,0.054865044080563884,0.1125725743577903,0.14308083132385865,0.305540987836613
polly,0.0004242195161572677,0.04092646087584113,0.040568316384209394,0.0623967170582976,0.009912886388328752,0.054865044080563884,0.0,0.06584039497900879,0.15571205287903545,0.2296904819338739
tom sawyer,0.0010765350349113433,0.01274515887134179,0.025393848755165132,0.0215245031499163,0.024689025996902914,0.1125725743577903,0.06584039497900879,0.0,0.17218462087356534,0.1658019513926997
potter,0.004025207583548719,0.022035626589066083,0.011027328992240949,0.07142646598553536,0.0533295550819177,0.14308083132385865,0.15571205287903545,0.17218462087356534,0.0,0.36698015830072367
thatcher,0.002041192670680329,0.009379495275470386,0.02651947867059466,0.006304010810452982,0.1466248359394325,0.305540987836613,0.2296904819338739,0.1658019513926997,0.36698015830072367,0.0
