,tom,huck,joe,becky,sid,mary,polly,tom sawyer,potter,thatcher
tom,0.0,0.005297080856509043,0.001442381232838676,0.00047828584596727996,0.00039473500929109183,0.0006714644551289337,0.00038591326650881696,0.0011389094640577547,0.004074305577435635,0.0023468168504805144
huck,0.005297080856509043,0.0,0.051851353807940544,0.04122080446007314,0.11755685979332542,0.071157897000839,0.03623418362207169,0.012625844967999586,0.02240533327221483,0.010421887112936276
joe,0.001442381232838676,0.051851353807940544,0.0,0.13365939433889942,0.08242956862986316,0.05860264048035892,0.036331750555885285,0.026074511317859782,0.011616993383837766,0.030013597802700725
becky,0.00047828584596727996,0.04122080446007314,0.13365939433889942,0.0,0.32061977194706004,0.13237736005832323,0.05706083710375003,0.021352906037423753,0.07229766951387036,0.0067607464312506894
sid,0.00039473500929109183,0.11755685979332542,0.08242956862986316,0.32061977194706004,0.0,0.00741064555703103,0.010112805446336002,0.027101627877613613,0.05571794206065031,0.16661030385640338
mary,0.0006714644551289337,0.071157897000839,0.05860264048035892,0.13237736005832323,0.00741064555703103,0.0,0.05286385986249475,0.11804100393419222,0.1447188348140679,0.33556383918308114
polly,0.00038591326650881696,0.03623418362207169,0.036331750555885285,0.05706083710375003,0.010112805446336002,0.05286385986249475,0.0,0.06659115721993637,0.15896207406053553,0.24870697616285173
tom sawyer,0.0011389094640577547,0.012625844967999586,0.026074511317859782,0.021352906037423753,0.027101627877613613,0.11804100393419222,0.06659115721993637,0.0,0.18171590070097557,0.18369076342357837
potter,0.004074305577435635,0.02240533327221483,0.011616993383837766,0.07229766951387036,0.05571794206065031,0.1447188348140679,0.15896207406053553,0.18171590070097557,0.0,0.40361376127150955
thatcher,0.0023468168504805144,0.010421887112936276,0.030013597802700725,0.0067607464312506894,0.16661030385640338,0.33556383918308114,0.24870697616285173,0.18369076342357837,0.40361376127150955,0.0
