,richards,mary,edward,burgess,wilson,billson,stephenson,halliday,goodson,harkness
richards,0.0,0.025177148269848338,0.02535832666639218,0.030596999456597627,0.16739264142485263,0.15484398379974726,0.003927193202106165,0.010030677720963613,0.010739113750302978,0.007236560937675177
mary,0.025177148269848338,0.0,0.010186283491124349,0.0638630406276751,0.17862769430307585,0.18492641968846696,0.011068713254393752,0.028891482538053303,0.008002307811533587,0.00822808558196826
edward,0.02535832666639218,0.010186283491124349,0.0,0.10130926244319406,0.2009751008745132,0.20474235034582577,0.01635650817220331,0.05907949951325441,0.01618385955687675,0.008151488639169669
burgess,0.030596999456597627,0.0638630406276751,0.10130926244319406,0.0,0.12607102102724405,0.10965989873903476,0.09457649347357348,0.05272301005992103,0.08478394487308803,0.06875324414874268
wilson,0.16739264142485263,0.17862769430307585,0.2009751008745132,0.12607102102724405,0.0,0.014630744308398344,0.1364977214568368,0.09076415069892096,0.19316898587952588,0.11704007183529687
billson,0.15484398379974726,0.18492641968846696,0.20474235034582577,0.10965989873903476,0.014630744308398344,0.0,0.13721295698487818,0.09184563228008522,0.15934884937113003,0.2485085777466706
stephenson,0.003927193202106165,0.011068713254393752,0.01635650817220331,0.09457649347357348,0.1364977214568368,0.13721295698487818,0.0,0.07902885950767774,0.043658130124098124,0.2722886613763866
halliday,0.010030677720963613,0.028891482538053303,0.05907949951325441,0.05272301005992103,0.09076415069892096,0.09184563228008522,0.07902885950767774,0.0,0.103395669295074,0.35071419068356685
goodson,0.010739113750302978,0.008002307811533587,0.01618385955687675,0.08478394487308803,0.19316898587952588,0.15934884937113003,0.043658130124098124,0.103395669295074,0.0,0.5629095439002745
harkness,0.007236560937675177,0.00822808558196826,0.008151488639169669,0.06875324414874268,0.11704007183529687,0.2485085777466706,0.2722886613763866,0.35071419068356685,0.5629095439002745,0.0
