,richards,mary,edward,burgess,wilson,billson,stephenson,halliday,goodson,harkness
richards,0.0,0.025062276189602006,0.025099435046712467,0.031190419161244445,0.17699964704670335,0.16285622880560427,0.004019490607177241,0.010118185563131868,0.010500514596896172,0.007864367241762362
mary,0.025062276189602006,0.0,0.00996664295129188,0.06637894545682549,0.18852192293126718,0.1946868666566519,0.011216098511954282,0.028897691615280982,0.007829398609827405,0.008933230735009434
edward,0.025099435046712467,0.00996664295129188,0.0,0.10446270037229523,0.20917321777183243,0.21380748340542607,0.01643389029741676,0.05988122985920268,0.0159034233937398,0.008850800958394352
burgess,0.031190419161244445,0.06637894545682549,0.10446270037229523,0.0,0.13489892282811272,0.11661768421347943,0.09654707424903465,0.05312452352803267,0.08446144873057572,0.074963430430762
wilson,0.17699964704670335,0.18852192293126718,0.20917321777183243,0.13489892282811272,0.0,0.015157904141718926,0.14033359637422965,0.09251535809872884,0.19398315217749956,0.12619681378482137
billson,0.16285622880560427,0.1946868666566519,0.21380748340542607,0.11661768421347943,0.015157904141718926,0.0,0.14135899017063816,0.09385925272034054,0.159312379879445,0.2658335383196307
stephenson,0.004019490607177241,0.011216098511954282,0.01643389029741676,0.09654707424903465,0.14033359637422965,0.14135899017063816,0.0,0.08109615363656694,0.04274235058288818,0.28608002594147236
halliday,0.010118185563131868,0.028897691615280982,0.05988122985920268,0.05312452352803267,0.09251535809872884,0.09385925272034054,0.08109615363656694,0.0,0.1031477647520313,0.37005451863325384
goodson,0.010500514596896172,0.007829398609827405,0.0159034233937398,0.08446144873057572,0.19398315217749956,0.159312379879445,0.04274235058288818,0.1031477647520313,0.0,0.585654244595571
harkness,0.007864367241762362,0.008933230735009434,0.008850800958394352,0.074963430430762,0.12619681378482137,0.2658335383196307,0.28608002594147236,0.37005451863325384,0.585654244595571,0.0
