,alaric,burns,burke,barnum,darley,mcfadden,brown,duffy,red mcfadden,p. t. barnum
alaric,0.0,0.11042753481183833,0.3429347508514009,0.31210410751788425,0.31783805704191653,0.2120279071920031,0.25085897676266183,0.13024398097724482,0.3034335861855842,0.08179076371405268
burns,0.11042753481183833,0.0,0.2126846855850143,0.1819624157981028,0.17190168077486045,0.16339665574341306,0.1323980665934126,0.10835211646238009,0.30249613238142065,0.08085330990988902
burke,0.3429347508514009,0.2126846855850143,0.0,0.027648902190117675,0.18270819819778097,0.23596215392292502,0.029915648863589026,0.25432810415860285,0.19869248032673836,0.009928594193935325
barnum,0.31210410751788425,0.1819624157981028,0.027648902190117675,0.0,0.16721216695638244,0.22651174846004735,0.0567508288718426,0.2258459598328633,0.22534127071997057,0.0036984482484390124
darley,0.31783805704191653,0.17190168077486045,0.18270819819778097,0.16721216695638244,0.0,0.10000773130544262,0.17890788795090087,0.11214263154144245,0.08190926287572997,0.11175899562263546
mcfadden,0.2120279071920031,0.16339665574341306,0.23596215392292502,0.22651174846004735,0.10000773130544262,0.0,0.22429391513301355,0.0004039670820686574,0.0033589342031913323,0.2250017566747229
brown,0.25085897676266183,0.1323980665934126,0.029915648863589026,0.0567508288718426,0.17890788795090087,0.22429391513301355,0.0,0.2916267413658431,0.1676853871761027,0.04868515644246074
duffy,0.13024398097724482,0.10835211646238009,0.25432810415860285,0.2258459598328633,0.11214263154144245,0.0004039670820686574,0.2916267413658431,0.0,0.45794864082234055,0.236305818350809
red mcfadden,0.3034335861855842,0.30249613238142065,0.19869248032673836,0.22534127071997057,0.08190926287572997,0.0033589342031913323,0.1676853871761027,0.45794864082234055,0.0,0.22164282247153155
p. t. barnum,0.08179076371405268,0.08085330990988902,0.009928594193935325,0.0036984482484390124,0.11175899562263546,0.2250017566747229,0.04868515644246074,0.236305818350809,0.22164282247153155,0.0
