,bertram,mannering,glossin,brown,hazlewood,pleydell,dominie,sampson,dinmont,laird
bertram,0.0,0.13105065466288393,0.06306783795920498,0.10992102215933885,0.020192784312927793,0.010979341563976992,0.003090585617331554,0.002894610296599145,0.008479269714218732,0.031740332035389486
mannering,0.13105065466288393,0.0,0.05375365692121197,0.07525573769194263,0.03059168124847972,0.010137913059828243,0.004655421097503161,0.005926938836293618,0.01641620278895112,0.01758683005876599
glossin,0.06306783795920498,0.05375365692121197,0.0,0.1415309306430219,0.02133412378846512,0.04146118084102624,0.09181605409883371,0.09449231264720226,0.0510926468211902,0.2431785083091823
brown,0.10992102215933885,0.07525573769194263,0.1415309306430219,0.0,0.11307228307986321,0.2007990161245478,0.08642058621264638,0.07854390713567763,0.06488620295284013,0.1516610917223831
hazlewood,0.020192784312927793,0.03059168124847972,0.02133412378846512,0.11307228307986321,0.0,0.07156706836473435,0.0859137670640397,0.08933564791875236,0.028009395924305347,0.3128958871000686
pleydell,0.010979341563976992,0.010137913059828243,0.04146118084102624,0.2007990161245478,0.07156706836473435,0.0,0.17054431496109415,0.17902234468751052,0.06115548728054867,0.4566120558602246
dominie,0.003090585617331554,0.004655421097503161,0.09181605409883371,0.08642058621264638,0.0859137670640397,0.17054431496109415,0.0,0.015605651077474438,0.05961706447627002,0.21176321993708688
sampson,0.002894610296599145,0.005926938836293618,0.09449231264720226,0.07854390713567763,0.08933564791875236,0.17902234468751052,0.015605651077474438,0.0,0.0896851506776206,0.22353582683262277
dinmont,0.008479269714218732,0.01641620278895112,0.0510926468211902,0.06488620295284013,0.028009395924305347,0.06115548728054867,0.05961706447627002,0.0896851506776206,0.0,0.3900965299354131
laird,0.031740332035389486,0.01758683005876599,0.2431785083091823,0.1516610917223831,0.3128958871000686,0.4566120558602246,0.21176321993708688,0.22353582683262277,0.3900965299354131,0.0
