,bertram,mannering,glossin,brown,hazlewood,pleydell,dominie,sampson,dinmont,laird
bertram,0.0,0.13651385308964156,0.07148612497021306,0.11684684478883392,0.022320689356392948,0.012664528789906536,0.003121499195708814,0.0029819133760082394,0.00889404825746728,0.027732120216216585
mannering,0.13651385308964156,0.0,0.05985115307184693,0.07991057583514496,0.03432552146510478,0.01196572257718467,0.00495331841271522,0.006167743640851883,0.018114710796926017,0.015514145465145235
glossin,0.07148612497021306,0.05985115307184693,0.0,0.15320498717004197,0.024346420522292325,0.04830200250964846,0.09621164361362289,0.09942805846429723,0.057203185673110814,0.23586469388241965
brown,0.11684684478883392,0.07991057583514496,0.15320498717004197,0.0,0.1253643559853443,0.22618068197353378,0.09065666312625706,0.08217080927490183,0.07384614487976957,0.14200912868037383
hazlewood,0.022320689356392948,0.03432552146510478,0.024346420522292325,0.1253643559853443,0.0,0.08176051884642284,0.08896900921707947,0.09287844695646898,0.0307348979316074,0.3096734858269225
pleydell,0.012664528789906536,0.01196572257718467,0.04830200250964846,0.22618068197353378,0.08176051884642284,0.0,0.18347537753997906,0.1930296994092899,0.06810946613278651,0.47108091036151206
dominie,0.003121499195708814,0.00495331841271522,0.09621164361362289,0.09065666312625706,0.08896900921707947,0.18347537753997906,0.0,0.016443714944521258,0.06377269315344346,0.211692440928209
sampson,0.0029819133760082394,0.006167743640851883,0.09942805846429723,0.08217080927490183,0.09287844695646898,0.1930296994092899,0.016443714944521258,0.0,0.09595525671730706,0.2226441165749672
dinmont,0.00889404825746728,0.018114710796926017,0.057203185673110814,0.07384614487976957,0.0307348979316074,0.06810946613278651,0.06377269315344346,0.09595525671730706,0.0,0.3962134653345612
laird,0.027732120216216585,0.015514145465145235,0.23586469388241965,0.14200912868037383,0.3096734858269225,0.47108091036151206,0.211692440928209,0.2226441165749672,0.3962134653345612,0.0
