,cedric,rebecca,de bracy,rowena,isaac,saxon,gurth,john,richard,wamba
cedric,0.0,0.16232001959967787,0.033775016687907736,0.008626153621141686,0.03967289146058391,0.0033882272459561354,0.03927053498419166,0.052423552009722915,0.0461828036642187,0.006730912039684713
rebecca,0.16232001959967787,0.0,0.04012277211444679,0.06902843026016367,0.04654602862295267,0.07754663580583382,0.159352450432255,0.11999352555554675,0.0307216714783256,0.06326489536245543
de bracy,0.033775016687907736,0.04012277211444679,0.0,0.09272278846074629,0.047857112032749845,0.08526606834098091,0.16042727901073472,0.10879676920539479,0.13302862208343838,0.08059320024081734
rowena,0.008626153621141686,0.06902843026016367,0.09272278846074629,0.0,0.06303554907972564,0.022407954532820802,0.07406611596849572,0.07080419390247474,0.09434622050839798,0.02973222562917789
isaac,0.03967289146058391,0.04654602862295267,0.047857112032749845,0.06303554907972564,0.0,0.0852936749391429,0.12788390217735565,0.08135272603742448,0.12280652600197356,0.05620974729703389
saxon,0.0033882272459561354,0.07754663580583382,0.08526606834098091,0.022407954532820802,0.0852936749391429,0.0,0.07553852565240635,0.09426692760783045,0.1292424712446111,0.02473845730463187
gurth,0.03927053498419166,0.159352450432255,0.16042727901073472,0.07406611596849572,0.12788390217735565,0.07553852565240635,0.0,0.05285279171631436,0.28334425896423066,0.1108652693271049
john,0.052423552009722915,0.11999352555554675,0.10879676920539479,0.07080419390247474,0.08135272603742448,0.09426692760783045,0.05285279171631436,0.0,0.2578328870434957,0.12089346264899314
richard,0.0461828036642187,0.0307216714783256,0.13302862208343838,0.09434622050839798,0.12280652600197356,0.1292424712446111,0.28334425896423066,0.2578328870434957,0.0,0.18794652290864763
wamba,0.006730912039684713,0.06326489536245543,0.08059320024081734,0.02973222562917789,0.05620974729703389,0.02473845730463187,0.1108652693271049,0.12089346264899314,0.18794652290864763,0.0
