,cedric,rebecca,de bracy,rowena,isaac,saxon,gurth,john,richard,wamba
cedric,0.0,0.1574224651291417,0.032040230929372186,0.00843542371993208,0.03838488415549993,0.0033994014908208755,0.04001575557268904,0.05301292112302034,0.04340155233519799,0.006542784744869049
rebecca,0.1574224651291417,0.0,0.038546313760103396,0.06856664646425255,0.045972102458098456,0.07768027883069109,0.1597527327114057,0.11952296612288653,0.02936472225571531,0.06377396847132477
de bracy,0.032040230929372186,0.038546313760103396,0.0,0.09103929720461373,0.04711074776845223,0.08501748217131791,0.16080464646373602,0.10864555682706199,0.12512327602924542,0.08034397570767927
rowena,0.00843542371993208,0.06856664646425255,0.09103929720461373,0.0,0.06077596617832938,0.02253810899455571,0.0744775703587043,0.07124478537515617,0.08912451239360376,0.0291871423511512
isaac,0.03838488415549993,0.045972102458098456,0.04711074776845223,0.06077596617832938,0.0,0.08405774187970073,0.12700160456001777,0.08056320069080856,0.11541983131783506,0.05596694141622988
saxon,0.0033994014908208755,0.07768027883069109,0.08501748217131791,0.02253810899455571,0.08405774187970073,0.0,0.07598799374652199,0.09420590986223881,0.12177026498035981,0.02391025925462083
gurth,0.04001575557268904,0.1597527327114057,0.16080464646373602,0.0744775703587043,0.12700160456001777,0.07598799374652199,0.0,0.05342711648750048,0.2719233168664542,0.10886326666093844
john,0.05301292112302034,0.11952296612288653,0.10864555682706199,0.07124478537515617,0.08056320069080856,0.09420590986223881,0.05342711648750048,0.0,0.24721616189380194,0.12011377743332043
richard,0.04340155233519799,0.02936472225571531,0.12512327602924542,0.08912451239360376,0.11541983131783506,0.12177026498035981,0.2719233168664542,0.24721616189380194,0.0,0.18243666242442028
wamba,0.006542784744869049,0.06377396847132477,0.08034397570767927,0.0291871423511512,0.05596694141622988,0.02391025925462083,0.10886326666093844,0.12011377743332043,0.18243666242442028,0.0
