,morton,edith,burley,cuddie,bothwell,jenny,bellenden,lady margaret,balfour,milnwood
morton,0.0,0.018824244131503246,0.002056867319245612,0.008577990055268108,0.024401073415718427,0.011177087957312993,0.006938003674836475,0.012590496381882465,0.0011162307229687601,0.00782116192575782
edith,0.018824244131503246,0.0,0.08576210418301773,0.04392634266945309,0.14806259876960143,0.021678794814001066,0.006373484858858713,0.017753398996631232,0.02142432730035956,0.02396597578175837
burley,0.002056867319245612,0.08576210418301773,0.0,0.07197125326766093,0.19444569646255677,0.041417548866224424,0.029231659332973222,0.06103584317777915,0.0009695147771582536,0.053953190732401665
cuddie,0.008577990055268108,0.04392634266945309,0.07197125326766093,0.0,0.14468419277270747,0.026339154820651703,0.022058151810713824,0.034149958089172615,0.021297632448022796,0.00896849944801553
bothwell,0.024401073415718427,0.14806259876960143,0.19444569646255677,0.14468419277270747,0.0,0.20936314679540677,0.1975783513007827,0.05789482051785501,0.15420803202588806,0.02753075679764328
jenny,0.011177087957312993,0.021678794814001066,0.041417548866224424,0.026339154820651703,0.20936314679540677,0.0,0.018879674243092955,0.07954723669440425,0.044853594573158094,0.04333974060492293
bellenden,0.006938003674836475,0.006373484858858713,0.029231659332973222,0.022058151810713824,0.1975783513007827,0.018879674243092955,0.0,0.12529262808689015,0.027785286825794123,0.06823429681072471
lady margaret,0.012590496381882465,0.017753398996631232,0.06103584317777915,0.034149958089172615,0.05789482051785501,0.07954723669440425,0.12529262808689015,0.0,0.08431594792017069,0.031855700028672995
balfour,0.0011162307229687601,0.02142432730035956,0.0009695147771582536,0.021297632448022796,0.15420803202588806,0.044853594573158094,0.027785286825794123,0.08431594792017069,0.0,0.17213408156759685
milnwood,0.00782116192575782,0.02396597578175837,0.053953190732401665,0.00896849944801553,0.02753075679764328,0.04333974060492293,0.06823429681072471,0.031855700028672995,0.17213408156759685,0.0
