,morton,edith,burley,cuddie,bothwell,jenny,bellenden,lady margaret,balfour,milnwood
morton,0.0,0.020007254358072397,0.00215328371984861,0.008958484732518316,0.023206176039171487,0.011969539426400007,0.007467802576372867,0.011871217018854505,0.0011734999633357499,0.007477146802028191
edith,0.020007254358072397,0.0,0.09018938679737372,0.04644665929455597,0.14838048483991143,0.023298486868968713,0.00677243189832214,0.016335183004028184,0.02259312524572549,0.022983571298437585
burley,0.00215328371984861,0.09018938679737372,0.0,0.07591829843288779,0.19749584114975052,0.044404493075884774,0.0312656555714133,0.059274218289902356,0.0010067185601968307,0.053165721903150914
cuddie,0.008958484732518316,0.04644665929455597,0.07591829843288779,0.0,0.1469777838764048,0.027367663904310866,0.023367115486251096,0.03270450644444988,0.022820656301960264,0.008880274458175736
bothwell,0.023206176039171487,0.14838048483991143,0.19749584114975052,0.1469777838764048,0.0,0.22153793519721368,0.20909109700964415,0.05962111367863261,0.1660045950691351,0.028649874431699154
jenny,0.011969539426400007,0.023298486868968713,0.044404493075884774,0.027367663904310866,0.22153793519721368,0.0,0.02007386627722701,0.0807869097156576,0.048403272894185896,0.04226953799661876
bellenden,0.007467802576372867,0.00677243189832214,0.0312656555714133,0.023367115486251096,0.20909109700964415,0.02007386627722701,0.0,0.12724126355735296,0.02953434002259179,0.06773670986382019
lady margaret,0.011871217018854505,0.016335183004028184,0.059274218289902356,0.03270450644444988,0.05962111367863261,0.0807869097156576,0.12724126355735296,0.0,0.08912216968132529,0.03139983334046527
balfour,0.0011734999633357499,0.02259312524572549,0.0010067185601968307,0.022820656301960264,0.1660045950691351,0.048403272894185896,0.02953434002259179,0.08912216968132529,0.0,0.17904275495216893
milnwood,0.007477146802028191,0.022983571298437585,0.053165721903150914,0.008880274458175736,0.028649874431699154,0.04226953799661876,0.06773670986382019,0.03139983334046527,0.17904275495216893,0.0
