,julian,bridgenorth,peveril,alice,geoffrey,lady peveril,chiffinch,charles,fenella,lance
julian,0.0,0.038739114041117496,0.005087423487813243,0.002856077748787055,0.029019442164784737,0.06308115197047584,0.015948772547102034,0.008942919232343843,0.004507626698372027,0.018720424499180103
bridgenorth,0.038739114041117496,0.0,0.08483556427172677,0.030353691296257493,0.013119269702493462,0.007281597557965312,0.047287584982391793,0.06304309461471887,0.039980360849605885,0.009795804968590196
peveril,0.005087423487813243,0.08483556427172677,0.0,0.03165137882510733,0.060567044125677344,0.09656180292062767,0.04762222791203902,0.055673651171340655,0.00953328124239608,0.03720531389357494
alice,0.002856077748787055,0.030353691296257493,0.03165137882510733,0.0,0.09743850209458427,0.09842042852322032,0.1194991083377222,0.15644908961107173,0.01538847255586573,0.06683116289918964
geoffrey,0.029019442164784737,0.013119269702493462,0.060567044125677344,0.09743850209458427,0.0,0.020821166491289653,0.07160790583480867,0.0823854548592088,0.08034278221622135,0.04804527014864727
lady peveril,0.06308115197047584,0.007281597557965312,0.09656180292062767,0.09842042852322032,0.020821166491289653,0.0,0.4571343955642273,0.43354380810166443,0.2787027571956361,0.24707410127036603
chiffinch,0.015948772547102034,0.047287584982391793,0.04762222791203902,0.1194991083377222,0.07160790583480867,0.4571343955642273,0.0,0.10562201135383782,0.10617261410331566,0.12526826041767408
charles,0.008942919232343843,0.06304309461471887,0.055673651171340655,0.15644908961107173,0.0823854548592088,0.43354380810166443,0.10562201135383782,0.0,0.20768239826269858,0.16199475525106152
fenella,0.004507626698372027,0.039980360849605885,0.00953328124239608,0.01538847255586573,0.08034278221622135,0.2787027571956361,0.10617261410331566,0.20768239826269858,0.0,0.11668995950391815
lance,0.018720424499180103,0.009795804968590196,0.03720531389357494,0.06683116289918964,0.04804527014864727,0.24707410127036603,0.12526826041767408,0.16199475525106152,0.11668995950391815,0.0
