,julian,bridgenorth,peveril,alice,geoffrey,lady peveril,chiffinch,charles,fenella,lance
julian,0.0,0.04121343848261015,0.00513675485463794,0.0028862640576842002,0.03158093326840739,0.06929627732280443,0.014866913201393132,0.00837195023970117,0.0043340986362136345,0.018387497939663017
bridgenorth,0.04121343848261015,0.0,0.08490662638634217,0.030004028430208617,0.01309066152297872,0.008092212718413773,0.04441539236501152,0.058866513723476455,0.03860772181263138,0.009503641898683201
peveril,0.00513675485463794,0.08490662638634217,0.0,0.031753487665482756,0.06319213923403161,0.10372322716966878,0.044426875988922136,0.05149071894779995,0.00907590726636264,0.03605229793794724
alice,0.0028862640576842002,0.030004028430208617,0.031753487665482756,0.0,0.10039481190523632,0.10617037572465736,0.11367411959862228,0.14736825739252063,0.014926863762381474,0.06478416532212627
geoffrey,0.03158093326840739,0.01309066152297872,0.06319213923403161,0.10039481190523632,0.0,0.023503272930007226,0.06802332734520145,0.07698424117015004,0.07793830904354278,0.046110517089799734
lady peveril,0.06929627732280443,0.008092212718413773,0.10372322716966878,0.10617037572465736,0.023503272930007226,0.0,0.4543443591583991,0.42683885372679037,0.28157496292282147,0.24752264726234452
chiffinch,0.014866913201393132,0.04441539236501152,0.044426875988922136,0.11367411959862228,0.06802332734520145,0.4543443591583991,0.0,0.10030044109137963,0.10193722623399115,0.12121926147098538
charles,0.00837195023970117,0.058866513723476455,0.05149071894779995,0.14736825739252063,0.07698424117015004,0.42683885372679037,0.10030044109137963,0.0,0.19768660542458075,0.1553864567734916
fenella,0.0043340986362136345,0.03860772181263138,0.00907590726636264,0.014926863762381474,0.07793830904354278,0.28157496292282147,0.10193722623399115,0.19768660542458075,0.0,0.11410534436578289
lance,0.018387497939663017,0.009503641898683201,0.03605229793794724,0.06478416532212627,0.046110517089799734,0.24752264726234452,0.12121926147098538,0.1553864567734916,0.11410534436578289,0.0
