,julian,bridgenorth,peveril,alice,geoffrey,lady peveril,chiffinch,charles,fenella,lance
julian,0.0,0.03617964602366651,0.005006438579679426,0.002805179506064092,0.02651949195536845,0.05696205649883362,0.016942421388539096,0.009487877527677881,0.004643512560320311,0.018904362409931458
bridgenorth,0.03617964602366651,0.0,0.0840819095967524,0.030433147238064014,0.013088871372597882,0.0065050064386340594,0.0498532839464744,0.06687976801537579,0.04100444952125046,0.010006287250531539
peveril,0.005006438579679426,0.0840819095967524,0.0,0.031281384248874035,0.0577446034422136,0.08923218521059754,0.050544276307614336,0.05962990639185489,0.009918013054544303,0.03805329033232422
alice,0.002805179506064092,0.030433147238064014,0.031281384248874035,0.0,0.09404736117449566,0.0905300913027422,0.12441985343794354,0.16460041577316525,0.015715423927223162,0.06834240186761559
geoffrey,0.02651949195536845,0.013088871372597882,0.0577446034422136,0.09404736117449566,0.0,0.018358264400650786,0.07466788513521962,0.08732912109175965,0.08205079092795117,0.04959070590605156
lady peveril,0.05696205649883362,0.0065050064386340594,0.08923218521059754,0.0905300913027422,0.018358264400650786,0.0,0.4564008217228002,0.4371075282614268,0.273582530654964,0.24458165967933115
chiffinch,0.016942421388539096,0.0498532839464744,0.050544276307614336,0.12441985343794354,0.07466788513521962,0.4564008217228002,0.0,0.11031483747315773,0.10952006847885433,0.1282896540392391
charles,0.009487877527677881,0.06687976801537579,0.05962990639185489,0.16460041577316525,0.08732912109175965,0.4371075282614268,0.11031483747315773,0.0,0.216190505960361,0.1675364947193108
fenella,0.004643512560320311,0.04100444952125046,0.009918013054544303,0.015715423927223162,0.08205079092795117,0.273582530654964,0.10952006847885433,0.216190505960361,0.0,0.11826100348831081
lance,0.018904362409931458,0.010006287250531539,0.03805329033232422,0.06834240186761559,0.04959070590605156,0.24458165967933115,0.1282896540392391,0.1675364947193108,0.11826100348831081,0.0
