,quentin,louis,crevecoeur,durward,crawford,oliver,charles,isabelle,hayraddin,quentin durward
quentin,0.0,0.06925084791205124,0.04673952370660937,0.004142000460389276,0.011891567175626606,0.021132292432824332,0.025355561422887644,0.003527437151509812,0.0014047589888360832,0.0023534037763506695
louis,0.06925084791205124,0.0,0.007924553895234667,0.039344055650828436,0.013225365897187138,0.007621708941951435,0.0010493510095594336,0.011349465467311639,0.05894945279635564,0.006798561662328769
crevecoeur,0.04673952370660937,0.007924553895234667,0.0,0.24835272470271147,0.046502533499988306,0.09417796837344312,0.013967651731708169,0.02986206500039907,0.116260399115779,0.06269541698311824
durward,0.004142000460389276,0.039344055650828436,0.24835272470271147,0.0,0.08112226929900532,0.07458047107877634,0.15151016274316448,0.03704151109619193,0.0308654976728062,0.004499157906035242
crawford,0.011891567175626606,0.013225365897187138,0.046502533499988306,0.08112226929900532,0.0,0.13987362504395506,0.07898755092756492,0.07296308296781763,0.14459713672249971,0.04580454384887455
oliver,0.021132292432824332,0.007621708941951435,0.09417796837344312,0.07458047107877634,0.13987362504395506,0.0,0.23038945442449182,0.11616747849944536,0.11379779721604237,0.07578228153132936
charles,0.025355561422887644,0.0010493510095594336,0.013967651731708169,0.15151016274316448,0.07898755092756492,0.23038945442449182,0.0,0.06785879867276232,0.1606067074654208,0.12459393927526669
isabelle,0.003527437151509812,0.011349465467311639,0.02986206500039907,0.03704151109619193,0.07296308296781763,0.11616747849944536,0.06785879867276232,0.0,0.106278395576971,0.11830430835018624
hayraddin,0.0014047589888360832,0.05894945279635564,0.116260399115779,0.0308654976728062,0.14459713672249971,0.11379779721604237,0.1606067074654208,0.106278395576971,0.0,0.12092429861575608
quentin durward,0.0023534037763506695,0.006798561662328769,0.06269541698311824,0.004499157906035242,0.04580454384887455,0.07578228153132936,0.12459393927526669,0.11830430835018624,0.12092429861575608,0.0
