,quentin,louis,crevecoeur,durward,crawford,oliver,charles,isabelle,hayraddin,quentin durward
quentin,0.0,0.06697554591745894,0.043765003480751664,0.004493349941409779,0.011386933757633484,0.02042394702114706,0.023816153755297883,0.003271066715594341,0.001341648113210642,0.0023961348994244788
louis,0.06697554591745894,0.0,0.007419185288510386,0.04031097780440189,0.012753236324282997,0.007553128469392918,0.000981923037996244,0.010679936756401642,0.05640202697802203,0.007046111451509047
crevecoeur,0.043765003480751664,0.007419185288510386,0.0,0.2435359448271417,0.044965300590277264,0.09140868770305703,0.013502535252176154,0.028520309012027765,0.11133208139523779,0.06340458310594721
durward,0.004493349941409779,0.04031097780440189,0.2435359448271417,0.0,0.07717269706847028,0.07242884726425033,0.14377228404975967,0.03489353616176306,0.02943077355889387,0.00449527492262572
crawford,0.011386933757633484,0.012753236324282997,0.044965300590277264,0.07717269706847028,0.0,0.13420588432020428,0.07606342360962252,0.06841498011306708,0.13729097556260955,0.04624584025908535
oliver,0.02042394702114706,0.007553128469392918,0.09140868770305703,0.07242884726425033,0.13420588432020428,0.0,0.22049632900948551,0.11058326616781408,0.10972159756299718,0.0756621759132325
charles,0.023816153755297883,0.000981923037996244,0.013502535252176154,0.14377228404975967,0.07606342360962252,0.22049632900948551,0.0,0.06388590801008963,0.1520058732819387,0.12258331268989413
isabelle,0.003271066715594341,0.010679936756401642,0.028520309012027765,0.03489353616176306,0.06841498011306708,0.11058326616781408,0.06388590801008963,0.0,0.10076427487714026,0.11773804065378118
hayraddin,0.001341648113210642,0.05640202697802203,0.11133208139523779,0.02943077355889387,0.13729097556260955,0.10972159756299718,0.1520058732819387,0.10076427487714026,0.0,0.12019490759721206
quentin durward,0.0023961348994244788,0.007046111451509047,0.06340458310594721,0.00449527492262572,0.04624584025908535,0.0756621759132325,0.12258331268989413,0.11773804065378118,0.12019490759721206,0.0
