,alan,redgauntlet,darsie,alan fairford,herries,peter,fairford,joshua,nixon,darsie latimer
alan,0.0,0.3771240589274283,0.1572287219799256,0.01351477005444522,0.043133121908866215,0.05431972490945434,0.002017499313841954,0.03508596195469553,0.1651588789641291,0.003390219160405433
redgauntlet,0.3771240589274283,0.0,0.08507252536819776,0.07711271363112746,0.16563473795854908,0.05735949273152728,0.11961486856534845,0.25821357394196326,0.007416771799742877,0.08637459613954222
darsie,0.1572287219799256,0.08507252536819776,0.0,0.04963006451535092,0.11898070960073831,0.04770310447332723,0.09454085886957195,0.10767495812158201,0.011155976731976458,0.030205540112225388
alan fairford,0.01351477005444522,0.07711271363112746,0.04963006451535092,0.0,0.10020199213892572,0.06602366505417111,0.03471443210756392,0.16151315362274007,0.1273301349140021,0.016517749989028496
herries,0.043133121908866215,0.16563473795854908,0.11898070960073831,0.10020199213892572,0.0,0.1930055322543214,0.08075426514712171,0.1673926395304404,0.34128279163404635,0.08202345907973918
peter,0.05431972490945434,0.05735949273152728,0.04770310447332723,0.06602366505417111,0.1930055322543214,0.0,0.12062008275155846,0.2620248633088161,0.12280578081168783,0.09234066311945298
fairford,0.002017499313841954,0.11961486856534845,0.09454085886957195,0.03471443210756392,0.08075426514712171,0.12062008275155846,0.0,0.1961420944174313,0.33886533011717895,0.04880658850861694
joshua,0.03508596195469553,0.25821357394196326,0.10767495812158201,0.16151315362274007,0.1673926395304404,0.2620248633088161,0.1961420944174313,0.0,0.4712146765426828,0.13424677900005877
nixon,0.1651588789641291,0.007416771799742877,0.011155976731976458,0.1273301349140021,0.34128279163404635,0.12280578081168783,0.33886533011717895,0.4712146765426828,0.0,0.33062837476225304
darsie latimer,0.003390219160405433,0.08637459613954222,0.030205540112225388,0.016517749989028496,0.08202345907973918,0.09234066311945298,0.04880658850861694,0.13424677900005877,0.33062837476225304,0.0
