,alan,redgauntlet,darsie,alan fairford,herries,peter,fairford,joshua,nixon,darsie latimer
alan,0.0,0.39220801934117416,0.1650140548943596,0.014352411955303061,0.04439146424583446,0.05803618937557429,0.0020555510747369506,0.033402330596215786,0.17748268078945917,0.0034279057291927663
redgauntlet,0.39220801934117416,0.0,0.08808645647277272,0.0792685178043546,0.1705228714704062,0.05918341571508291,0.12291853546853374,0.2582043883975961,0.008045940097683123,0.08632244708103848
darsie,0.1650140548943596,0.08808645647277272,0.0,0.05207191586876681,0.12363921141697497,0.04938772767107454,0.09793488983970608,0.10438181630978734,0.012140887336121531,0.03121578367800731
alan fairford,0.014352411955303061,0.0792685178043546,0.05207191586876681,0.0,0.10241696982202297,0.0688933369502075,0.03548373263137708,0.15862512188889807,0.1366805076106417,0.016178076535761116
herries,0.04439146424583446,0.1705228714704062,0.12363921141697497,0.10241696982202297,0.0,0.2006734245361794,0.08261970426614194,0.16634891100146462,0.3615913866207451,0.0829228181187933
peter,0.05803618937557429,0.05918341571508291,0.04938772767107454,0.0688933369502075,0.2006734245361794,0.0,0.126021909039239,0.2635035511521707,0.12981755067751402,0.0931798839258294
fairford,0.0020555510747369506,0.12291853546853374,0.09793488983970608,0.03548373263137708,0.08261970426614194,0.126021909039239,0.0,0.19471465399297427,0.3584411058961787,0.04884390930148495
joshua,0.033402330596215786,0.2582043883975961,0.10438181630978734,0.15862512188889807,0.16634891100146462,0.2635035511521707,0.19471465399297427,0.0,0.48555088333950536,0.13211964230043136
nixon,0.17748268078945917,0.008045940097683123,0.012140887336121531,0.1366805076106417,0.3615913866207451,0.12981755067751402,0.3584411058961787,0.48555088333950536,0.0,0.3447100114955841
darsie latimer,0.0034279057291927663,0.08632244708103848,0.03121578367800731,0.016178076535761116,0.0829228181187933,0.0931798839258294,0.04884390930148495,0.13211964230043136,0.3447100114955841,0.0
