,rashleigh,andrew,rob roy,vernon,bailie,owen,macgregor,jarvie,rob,osbaldistone
rashleigh,0.0,0.07039300138962515,0.20098199655725205,0.010892894918829246,0.14821881694412067,0.08717680921549972,0.1285944391534255,0.10852242145860638,0.11440482665513386,0.010705428605156457
andrew,0.07039300138962515,0.0,0.2624297733792886,0.10634068283177119,0.09604504780473014,0.06886987337001604,0.13407964893701838,0.051985363875602306,0.10534983600325018,0.03407009454168717
rob roy,0.20098199655725205,0.2624297733792886,0.0,0.23840891388993277,0.3038326243214352,0.20803450608488852,0.07278978269333089,0.23763249520196736,0.043037733173460616,0.12378234809646733
vernon,0.010892894918829246,0.10634068283177119,0.23840891388993277,0.0,0.3117190423023142,0.12965301693288112,0.2641930861715115,0.2332393806357737,0.20390267277405785,0.04892165146402842
bailie,0.14821881694412067,0.09604504780473014,0.3038326243214352,0.3117190423023142,0.0,0.22381250505069233,0.11346048875444921,0.027011740913190977,0.1479273397533102,0.1420277086784719
owen,0.08717680921549972,0.06886987337001604,0.20803450608488852,0.12965301693288112,0.22381250505069233,0.0,0.15445129737715113,0.12269639036194814,0.0944411618293636,0.05049673641854862
macgregor,0.1285944391534255,0.13407964893701838,0.07278978269333089,0.2641930861715115,0.11346048875444921,0.15445129737715113,0.0,0.19689586574128076,0.06682200736968613,0.15710734081940475
jarvie,0.10852242145860638,0.051985363875602306,0.23763249520196736,0.2332393806357737,0.027011740913190977,0.12269639036194814,0.19689586574128076,0.0,0.1333785070932292,0.1279846068806576
rob,0.11440482665513386,0.10534983600325018,0.043037733173460616,0.20390267277405785,0.1479273397533102,0.0944411618293636,0.06682200736968613,0.1333785070932292,0.0,0.11295666362363488
osbaldistone,0.010705428605156457,0.03407009454168717,0.12378234809646733,0.04892165146402842,0.1420277086784719,0.05049673641854862,0.15710734081940475,0.1279846068806576,0.11295666362363488,0.0
