,mowbray,tyrrel,etherington,clara,jekyl,dods,lady penelope,cargill,meg,touchwood
mowbray,0.0,0.07740074445627936,0.011184248882595858,0.0022700573171701077,0.05739982385877477,0.03921999280832013,0.009489169566212628,0.012207046254159906,0.10758010355423293,0.016184171392671837
tyrrel,0.07740074445627936,0.0,0.15408210717099244,0.0548241815268619,0.0527648332711538,0.034381061982640584,0.02711496431229281,0.09419723321934041,0.053314720450166365,0.046080794000746536
etherington,0.011184248882595858,0.15408210717099244,0.0,0.1605858942818104,0.0441916379406855,0.15485025545909023,0.1146704692306887,0.06726449731537006,0.4794518738057439,0.037916312370694476
clara,0.0022700573171701077,0.0548241815268619,0.1605858942818104,0.0,0.11091862351309498,0.06543599041852066,0.04633073801685343,0.05081473913063232,0.19414729839195802,0.04922519980975521
jekyl,0.05739982385877477,0.0527648332711538,0.0441916379406855,0.11091862351309498,0.0,0.25414515388938225,0.2226774712158822,0.17924870005239285,0.6030014404321898,0.13387567469200773
dods,0.03921999280832013,0.034381061982640584,0.15485025545909023,0.06543599041852066,0.25414515388938225,0.0,0.13160530589810196,0.11335031538452901,0.2797864267342786,0.09061144842426577
lady penelope,0.009489169566212628,0.02711496431229281,0.1146704692306887,0.04633073801685343,0.2226774712158822,0.13160530589810196,0.0,0.16766776918895443,0.29041610686368774,0.11895196852923931
cargill,0.012207046254159906,0.09419723321934041,0.06726449731537006,0.05081473913063232,0.17924870005239285,0.11335031538452901,0.16766776918895443,0.0,0.4402254799532359,0.058638402645264126
meg,0.10758010355423293,0.053314720450166365,0.4794518738057439,0.19414729839195802,0.6030014404321898,0.2797864267342786,0.29041610686368774,0.4402254799532359,0.0,0.47556411673921173
touchwood,0.016184171392671837,0.046080794000746536,0.037916312370694476,0.04922519980975521,0.13387567469200773,0.09061144842426577,0.11895196852923931,0.058638402645264126,0.47556411673921173,0.0
