,roland,roland graeme,catherine,mary,douglas,catherine seyton,lindesay,adam woodcock,seyton,fleming
roland,0.0,0.10181933486460473,0.030337648559977507,0.011356806539850967,0.013818766005724415,0.002005680328868305,0.056277265622435665,0.011623458773539475,0.007700260742991043,0.009376807271129321
roland graeme,0.10181933486460473,0.0,0.10172091783960605,0.061857236046914475,0.05968246966740734,0.0026794451075054797,0.04303190187863273,0.003537466544935852,0.04901373176716884,0.013824401942607385
catherine,0.030337648559977507,0.10172091783960605,0.0,0.032361992474142294,0.01342622895919128,0.017005715824756358,0.13455384126267217,0.11231938950288939,0.026508767546725726,0.0037281633789397407
mary,0.011356806539850967,0.061857236046914475,0.032361992474142294,0.0,0.02573382042189873,0.02700703345846306,0.11300722569428813,0.13878264981416025,0.009916904631746206,0.004261380954686246
douglas,0.013818766005724415,0.05968246966740734,0.01342622895919128,0.02573382042189873,0.0,0.07964210502126941,0.16468778734824543,0.27525928992336873,0.02440461854246606,0.012296700948561825
catherine seyton,0.002005680328868305,0.0026794451075054797,0.017005715824756358,0.02700703345846306,0.07964210502126941,0.0,0.11721293756224531,0.1797074032259795,0.06954851058850241,0.019488085656705498
lindesay,0.056277265622435665,0.04303190187863273,0.13455384126267217,0.11300722569428813,0.16468778734824543,0.11721293756224531,0.0,0.14096907842095788,0.23750758811226694,0.17774395841615015
adam woodcock,0.011623458773539475,0.003537466544935852,0.11231938950288939,0.13878264981416025,0.27525928992336873,0.1797074032259795,0.14096907842095788,0.0,0.29959668529555866,0.28442625908218067
seyton,0.007700260742991043,0.04901373176716884,0.026508767546725726,0.009916904631746206,0.02440461854246606,0.06954851058850241,0.23750758811226694,0.29959668529555866,0.0,0.09284480218125861
fleming,0.009376807271129321,0.013824401942607385,0.0037281633789397407,0.004261380954686246,0.012296700948561825,0.019488085656705498,0.17774395841615015,0.28442625908218067,0.09284480218125861,0.0
