,roland,roland graeme,catherine,mary,douglas,catherine seyton,lindesay,adam woodcock,seyton,fleming
roland,0.0,0.10543920736619594,0.03212019642132493,0.01188471748125536,0.014838446521127889,0.002097674341302774,0.058366228628368155,0.011665078600878473,0.00825747110858888,0.009959950989211677
roland graeme,0.10543920736619594,0.0,0.10678332872456249,0.0656270112447162,0.06370784570437207,0.0028429691715443177,0.04471636144623171,0.003559229369564476,0.05286067315459768,0.014741972532250699
catherine,0.03212019642132493,0.10678332872456249,0.0,0.033243299347334415,0.014225778659437456,0.01763567535995273,0.14072979965599283,0.11193381753735149,0.027895786037967343,0.003808077503912903
mary,0.01188471748125536,0.0656270112447162,0.033243299347334415,0.0,0.02767559309645176,0.02820386319533966,0.11817151195929872,0.14099807453566635,0.010523641569791282,0.0045607131743443515
douglas,0.014838446521127889,0.06370784570437207,0.014225778659437456,0.02767559309645176,0.0,0.08316571033297249,0.1728411309110483,0.28257743823820647,0.02576819007621032,0.013066365736487224
catherine seyton,0.002097674341302774,0.0028429691715443177,0.01763567535995273,0.02820386319533966,0.08316571033297249,0.0,0.12217147459455599,0.182562648384784,0.07444441760567584,0.020515444397006328
lindesay,0.058366228628368155,0.04471636144623171,0.14072979965599283,0.11817151195929872,0.1728411309110483,0.12217147459455599,0.0,0.14212184412725265,0.25111504581217203,0.18662627141434485
adam woodcock,0.011665078600878473,0.003559229369564476,0.11193381753735149,0.14099807453566635,0.28257743823820647,0.182562648384784,0.14212184412725265,0.0,0.3138997764606835,0.2957910968632577
seyton,0.00825747110858888,0.05286067315459768,0.027895786037967343,0.010523641569791282,0.02576819007621032,0.07444441760567584,0.25111504581217203,0.3138997764606835,0.0,0.09839942773670464
fleming,0.009959950989211677,0.014741972532250699,0.003808077503912903,0.0045607131743443515,0.013066365736487224,0.020515444397006328,0.18662627141434485,0.2957910968632577,0.09839942773670464,0.0
