,eveline,rose,damian,de lacy,raoul,wilkin flammock,fleming,gwenwyn,gillian,wilkin
eveline,0.0,0.007382651065338617,0.03310670881229974,0.009227545875994347,0.009199727864718758,0.010230660480782605,0.009462248346453832,0.07299671617313146,0.0045077953786772365,0.013618649986454163
rose,0.007382651065338617,0.0,0.15208935630557519,0.041797240993545745,0.025152349183976075,0.04772001761672812,0.03685887689779992,0.1554419000399584,0.008746482040797044,0.05700578953906262
damian,0.03310670881229974,0.15208935630557519,0.0,0.04264192281071601,0.02452008813315523,0.1688446109143513,0.11941039140442297,0.3520737078501884,0.0253115708251565,0.1829666072664326
de lacy,0.009227545875994347,0.041797240993545745,0.04264192281071601,0.0,0.032776682142214957,0.14122752053787896,0.10055395006674249,0.29948593566608434,0.027761993326627703,0.14593556221893425
raoul,0.009199727864718758,0.025152349183976075,0.02452008813315523,0.032776682142214957,0.0,0.17784633053272572,0.1399197153923044,0.34755322679736417,0.01252631615449158,0.19008158862499822
wilkin flammock,0.010230660480782605,0.04772001761672812,0.1688446109143513,0.14122752053787896,0.17784633053272572,0.0,0.0197023034638077,0.12297039080583287,0.16395554624983819,0.010722072379516322
fleming,0.009462248346453832,0.03685887689779992,0.11941039140442297,0.10055395006674249,0.1399197153923044,0.0197023034638077,0.0,0.1880583833967954,0.13713013851788505,0.01371239802068667
gwenwyn,0.07299671617313146,0.1554419000399584,0.3520737078501884,0.29948593566608434,0.34755322679736417,0.12297039080583287,0.1880583833967954,0.0,0.40404489143106936,0.1081861057487659
gillian,0.0045077953786772365,0.008746482040797044,0.0253115708251565,0.027761993326627703,0.01252631615449158,0.16395554624983819,0.13713013851788505,0.40404489143106936,0.0,0.22593460889896888
wilkin,0.013618649986454163,0.05700578953906262,0.1829666072664326,0.14593556221893425,0.19008158862499822,0.010722072379516322,0.01371239802068667,0.1081861057487659,0.22593460889896888,0.0
