,hobbie,ratcliffe,ellieslaw,isabella,earnscliff,mareschal,frederick,elshie,vere,elliot
hobbie,0.0,0.2394218383750671,0.1369512323907519,0.16115043780488436,0.012509768813188826,0.12805629704275248,0.10683550596483453,0.005948609850532891,0.08432030286694983,0.0020778075558908525
ratcliffe,0.2394218383750671,0.0,0.03267461943428288,0.022933988715386384,0.34731457841906954,0.02646672535537599,0.018613657851756265,0.20420764995759325,0.0097921220122154,0.17999521107063368
ellieslaw,0.1369512323907519,0.03267461943428288,0.0,0.05692198203722099,0.33364401411574074,0.011792134197682533,0.006203105801699936,0.18971649653371941,0.014890511722233225,0.16887545006957988
isabella,0.16115043780488436,0.022933988715386384,0.05692198203722099,0.0,0.3746290991649849,0.06354870209202051,0.0253140556756821,0.21151002710854602,0.04465557174121842,0.189608907326033
earnscliff,0.012509768813188826,0.34731457841906954,0.33364401411574074,0.3746290991649849,0.0,0.3359348986355882,0.2718106134548225,0.05609688007223035,0.1839252008463724,0.032413526918441425
mareschal,0.12805629704275248,0.02646672535537599,0.011792134197682533,0.06354870209202051,0.3359348986355882,0.0,0.016456882017708577,0.22172050673451707,0.019996850617786138,0.2080900347004844
frederick,0.10683550596483453,0.018613657851756265,0.006203105801699936,0.0253140556756821,0.2718106134548225,0.016456882017708577,0.0,0.232163318067985,0.022667870451935666,0.20552604344213246
elshie,0.005948609850532891,0.20420764995759325,0.18971649653371941,0.21151002710854602,0.05609688007223035,0.22172050673451707,0.232163318067985,0.0,0.19097535995220663,0.029610168369417232
vere,0.08432030286694983,0.0097921220122154,0.014890511722233225,0.04465557174121842,0.1839252008463724,0.019996850617786138,0.022667870451935666,0.19097535995220663,0.0,0.20817139358560904
elliot,0.0020778075558908525,0.17999521107063368,0.16887545006957988,0.189608907326033,0.032413526918441425,0.2080900347004844,0.20552604344213246,0.029610168369417232,0.20817139358560904,0.0
