,hobbie,ratcliffe,ellieslaw,isabella,earnscliff,mareschal,frederick,elshie,vere,elliot
hobbie,0.0,0.22463665829321322,0.12841907455938698,0.1507990417617325,0.012311942418199407,0.12004589062795362,0.1000291550040109,0.0059045382679361064,0.07876402055111477,0.0020344833305181273
ratcliffe,0.22463665829321322,0.0,0.030346725509423123,0.021382776175038885,0.33457591283444105,0.024462229838408577,0.017333114807908032,0.19592126586158787,0.009129018402583688,0.17340620792384667
ellieslaw,0.12841907455938698,0.030346725509423123,0.0,0.052993794630837185,0.32128785002295446,0.010927679229203497,0.005837878578518787,0.18208179479270595,0.013926708443619299,0.16244238429226135
isabella,0.1507990417617325,0.021382776175038885,0.052993794630837185,0.0,0.35946372236159496,0.05871826185730826,0.02341228238928828,0.20216824978852607,0.04155148547375473,0.18212668741962268
earnscliff,0.012311942418199407,0.33457591283444105,0.32128785002295446,0.35946372236159496,0.0,0.32210060740823687,0.2588877698834661,0.054235173859667085,0.1748413496563863,0.03089309070301389
mareschal,0.12004589062795362,0.024462229838408577,0.010927679229203497,0.05871826185730826,0.32210060740823687,0.0,0.015422615809955536,0.21225316351609275,0.01869416744975167,0.1996700328579662
frederick,0.1000291550040109,0.017333114807908032,0.005837878578518787,0.02341228238928828,0.2588877698834661,0.015422615809955536,0.0,0.22181592405262038,0.02111521256952673,0.19719070677873493
elshie,0.0059045382679361064,0.19592126586158787,0.18208179479270595,0.20216824978852607,0.054235173859667085,0.21225316351609275,0.22181592405262038,0.0,0.18210201484223407,0.029286402500329087
vere,0.07876402055111477,0.009129018402583688,0.013926708443619299,0.04155148547375473,0.1748413496563863,0.01869416744975167,0.02111521256952673,0.18210201484223407,0.0,0.19974859729605407
elliot,0.0020344833305181273,0.17340620792384667,0.16244238429226135,0.18212668741962268,0.03089309070301389,0.1996700328579662,0.19719070677873493,0.029286402500329087,0.19974859729605407,0.0
