,hobbie,ratcliffe,ellieslaw,isabella,earnscliff,mareschal,frederick,elshie,vere,elliot
hobbie,0.0,0.25269163441332043,0.14461147678237005,0.1705281149045672,0.01259722466110633,0.1352520809845858,0.11298534708061408,0.005941742099779103,0.08938063946063346,0.002103970750380898
ratcliffe,0.25269163441332043,0.0,0.03484113783881129,0.02436123521494096,0.3572899134825409,0.028350766561582193,0.01979522717065931,0.21082988361124422,0.010399098858772327,0.1850969155184062
ellieslaw,0.14461147678237005,0.03484113783881129,0.0,0.06055508406494736,0.343355430239927,0.012598286401298212,0.006527984522759729,0.19580641676242302,0.01576243898141019,0.17392809500715334
isabella,0.1705281149045672,0.02436123521494096,0.06055508406494736,0.0,0.3869646783434175,0.06809284861763208,0.027099999176337656,0.21921506471867253,0.0475144217333162,0.19558878176431121
earnscliff,0.01259722466110633,0.3572899134825409,0.343355430239927,0.3869646783434175,0.0,0.3471600349027529,0.28270255674696687,0.05749551617004062,0.1916153754035059,0.033698001667872575
mareschal,0.1352520809845858,0.028350766561582193,0.012598286401298212,0.06809284861763208,0.3471600349027529,0.0,0.017389553667112336,0.22942407268311638,0.021177294459546327,0.2148584488773305
frederick,0.11298534708061408,0.01979522717065931,0.006527984522759729,0.027099999176337656,0.28270255674696687,0.017389553667112336,0.0,0.240716899263116,0.024092608135355843,0.21224136225698176
elshie,0.005941742099779103,0.21082988361124422,0.19580641676242302,0.21921506471867253,0.05749551617004062,0.22942407268311638,0.240716899263116,0.0,0.19834584677721703,0.029684227588612652
vere,0.08938063946063346,0.010399098858772327,0.01576243898141019,0.0475144217333162,0.1916153754035059,0.021177294459546327,0.024092608135355843,0.19834584677721703,0.0,0.21494522547429828
elliot,0.002103970750380898,0.1850969155184062,0.17392809500715334,0.19558878176431121,0.033698001667872575,0.2148584488773305,0.21224136225698176,0.029684227588612652,0.21494522547429828,0.0
