,caleb,bucklaw,lucy,lady ashton,ashton,wolf,craigengelt,marquis,william ashton,alice
caleb,0.0,0.06537388960958386,0.12815528595162798,0.13092228707402628,0.12234968259545288,0.005861780859234606,0.05029150833306611,0.04695633755414007,0.04864418535434468,0.05857407182635288
bucklaw,0.06537388960958386,0.0,0.07564275825127872,0.041511992474294816,0.047973867722036934,0.04291966470843033,0.009461981224917834,0.05253002813720086,0.03422264376776425,0.0502299791725273
lucy,0.12815528595162798,0.07564275825127872,0.0,0.01790913267686496,0.0216185451067799,0.09022806731328314,0.024289790208816237,0.05853465213084083,0.01785521905593619,0.007111237891707897
lady ashton,0.13092228707402628,0.041511992474294816,0.01790913267686496,0.0,0.02992420626887892,0.2116636554004755,0.17899923770607806,0.07233582420963779,0.10681094567953886,0.1173651199666729
ashton,0.12234968259545288,0.047973867722036934,0.0216185451067799,0.02992420626887892,0.0,0.23281101726176703,0.21535961138141263,0.1076511098027684,0.13867762013440643,0.15321854868007134
wolf,0.005861780859234606,0.04291966470843033,0.09022806731328314,0.2116636554004755,0.23281101726176703,0.0,0.07952988781563093,0.09676635333337748,0.05997975203900763,0.08830346647111212
craigengelt,0.05029150833306611,0.009461981224917834,0.024289790208816237,0.17899923770607806,0.21535961138141263,0.07952988781563093,0.0,0.10194441452948791,0.03797128877753911,0.04781980461436989
marquis,0.04695633755414007,0.05253002813720086,0.05853465213084083,0.07233582420963779,0.1076511098027684,0.09676635333337748,0.10194441452948791,0.0,0.11821436230285252,0.0823113328585605
william ashton,0.04864418535434468,0.03422264376776425,0.01785521905593619,0.10681094567953886,0.13867762013440643,0.05997975203900763,0.03797128877753911,0.11821436230285252,0.0,0.03345313791836167
alice,0.05857407182635288,0.0502299791725273,0.007111237891707897,0.1173651199666729,0.15321854868007134,0.08830346647111212,0.04781980461436989,0.0823113328585605,0.03345313791836167,0.0
