,catharine,henry,douglas,ramorny,simon,simon glover,john ramorny,oliver,louise,bonthron
catharine,0.0,0.025862471060409165,0.060907549862766294,0.02612179885404534,0.008834058248429167,0.007898958345806726,0.02450566261623649,0.04779144105187923,0.04875153394305485,0.025540584173990723
henry,0.025862471060409165,0.0,0.08082904779887448,0.08489589874733224,0.03246448279244244,0.02121318282693778,0.026416909113410228,0.013636035220633915,0.0542120546824996,0.040404043890783184
douglas,0.060907549862766294,0.08082904779887448,0.0,0.1554930317456535,0.11058122568238275,0.08037433563812703,0.09622929682882705,0.06762731077893165,0.010533934029273058,0.12302333633189078
ramorny,0.02612179885404534,0.08489589874733224,0.1554930317456535,0.0,0.1319660725314364,0.0934894631716699,0.011481415729155686,0.042661064178088313,0.08777323328594004,0.01949889958643075
simon,0.008834058248429167,0.03246448279244244,0.11058122568238275,0.1319660725314364,0.0,0.009540830038613921,0.06765628782274632,0.10804087937138007,0.1012693704957238,0.05861217374211617
simon glover,0.007898958345806726,0.02121318282693778,0.08037433563812703,0.0934894631716699,0.009540830038613921,0.0,0.06730355922935485,0.11308384832905936,0.11614208507579109,0.06127040368538907
john ramorny,0.02450566261623649,0.026416909113410228,0.09622929682882705,0.011481415729155686,0.06765628782274632,0.06730355922935485,0.0,0.14671179010794824,0.17253262439925734,0.034609672115427495
oliver,0.04779144105187923,0.013636035220633915,0.06762731077893165,0.042661064178088313,0.10804087937138007,0.11308384832905936,0.14671179010794824,0.0,0.17504391692309193,0.19259972317785543
louise,0.04875153394305485,0.0542120546824996,0.010533934029273058,0.08777323328594004,0.1012693704957238,0.11614208507579109,0.17253262439925734,0.17504391692309193,0.0,0.20012002954886365
bonthron,0.025540584173990723,0.040404043890783184,0.12302333633189078,0.01949889958643075,0.05861217374211617,0.06127040368538907,0.034609672115427495,0.19259972317785543,0.20012002954886365,0.0
