,catharine,henry,douglas,ramorny,simon,simon glover,john ramorny,oliver,louise,bonthron
catharine,0.0,0.02589944910938761,0.06107305462916769,0.027532155727539843,0.009067992364162974,0.007963968964785819,0.025563622660003896,0.04838682650268467,0.04769065684158425,0.026826301079003075
henry,0.02589944910938761,0.0,0.08197790015229027,0.0885831349286491,0.03419725140149288,0.022145525812355227,0.027758693123043573,0.013917513486922417,0.053887151621943366,0.042379788887583376
douglas,0.06107305462916769,0.08197790015229027,0.0,0.16039869371352228,0.1113140653789968,0.08197362677851118,0.10084741688420265,0.06821939440923465,0.010619433445016358,0.13137552949669917
ramorny,0.027532155727539843,0.0885831349286491,0.16039869371352228,0.0,0.13239068637410056,0.09424153494588694,0.011832199587581945,0.04287160742137644,0.08799131562016602,0.02052807223434435
simon,0.009067992364162974,0.03419725140149288,0.1113140653789968,0.13239068637410056,0.0,0.009621807107229166,0.07102316019902849,0.11181874732402783,0.09961701876418728,0.06202293923868987
simon glover,0.007963968964785819,0.022145525812355227,0.08197362677851118,0.09424153494588694,0.009621807107229166,0.0,0.07075172150384446,0.11730031416415075,0.11537869840779336,0.06476787592101566
john ramorny,0.025563622660003896,0.027758693123043573,0.10084741688420265,0.011832199587581945,0.07102316019902849,0.07075172150384446,0.0,0.15063246426959961,0.17571100148769261,0.03632467346968222
oliver,0.04838682650268467,0.013917513486922417,0.06821939440923465,0.04287160742137644,0.11181874732402783,0.11730031416415075,0.15063246426959961,0.0,0.17817562307243162,0.19918212165738386
louise,0.04769065684158425,0.053887151621943366,0.010619433445016358,0.08799131562016602,0.09961701876418728,0.11537869840779336,0.17571100148769261,0.17817562307243162,0.0,0.20464998655272046
bonthron,0.026826301079003075,0.042379788887583376,0.13137552949669917,0.02052807223434435,0.06202293923868987,0.06476787592101566,0.03632467346968222,0.19918212165738386,0.20464998655272046,0.0
