,nigel,glenvarloch,dalgarno,richie,heriot,margaret,mungo,george heriot,james,huntinglen
nigel,0.0,0.018679370408225954,0.046378609082610926,0.07181080822116008,0.017467096675746505,0.03875940848584668,0.025056014273586304,0.017301174682705717,0.017505257962871112,0.0187392446751993
glenvarloch,0.018679370408225954,0.0,0.030920619447031426,0.0513873285388106,0.031462562455733936,0.040159400146434945,0.015025415153603647,0.010905595786312372,0.01590580429058336,0.01289277008666191
dalgarno,0.046378609082610926,0.030920619447031426,0.0,0.07160392561092828,0.07354903684539815,0.09207958908028863,0.03971746771933288,0.03808122638603108,0.04689785924467271,0.011007791758464081
richie,0.07181080822116008,0.0513873285388106,0.07160392561092828,0.0,0.07225082154605689,0.20283420903396732,0.04418811427761156,0.03734022586647289,0.038051179059848124,0.058951736695581985
heriot,0.017467096675746505,0.031462562455733936,0.07354903684539815,0.07225082154605689,0.0,0.15343310880236313,0.06650055639364881,0.00917019966927005,0.018029215403532403,0.01818718638470626
margaret,0.03875940848584668,0.040159400146434945,0.09207958908028863,0.20283420903396732,0.15343310880236313,0.0,0.12404348226134469,0.0859044049187537,0.08813347934824572,0.07894402724856862
mungo,0.025056014273586304,0.015025415153603647,0.03971746771933288,0.04418811427761156,0.06650055639364881,0.12404348226134469,0.0,0.022761864829028058,0.03428917754562756,0.048318706094074154
george heriot,0.017301174682705717,0.010905595786312372,0.03808122638603108,0.03734022586647289,0.00917019966927005,0.0859044049187537,0.022761864829028058,0.0,0.0221904858046479,0.04429577928841673
james,0.017505257962871112,0.01590580429058336,0.04689785924467271,0.038051179059848124,0.018029215403532403,0.08813347934824572,0.03428917754562756,0.0221904858046479,0.0,0.0654325556001963
huntinglen,0.0187392446751993,0.01289277008666191,0.011007791758464081,0.058951736695581985,0.01818718638470626,0.07894402724856862,0.048318706094074154,0.04429577928841673,0.0654325556001963,0.0
