,nigel,glenvarloch,dalgarno,richie,heriot,margaret,mungo,george heriot,james,huntinglen
nigel,0.0,0.019700873343489585,0.048581071891163626,0.07587011228379682,0.017908001806506382,0.03955162687326357,0.02616254395631882,0.017686234155587233,0.01703494097054785,0.019380104240396562
glenvarloch,0.019700873343489585,0.0,0.03193611614168053,0.05308931127635177,0.031229549192433675,0.040809723659343405,0.01501863593918915,0.010535249973968248,0.014748844493464655,0.01321492209108475
dalgarno,0.048581071891163626,0.03193611614168053,0.0,0.07320476714786961,0.07408404799162717,0.09315911051412133,0.040255134923310634,0.03753153512622523,0.04522187068561457,0.011004747518507364
richie,0.07587011228379682,0.05308931127635177,0.07320476714786961,0.0,0.07303309752183594,0.21015744082902382,0.0437734189384357,0.03631269447613552,0.036600142746356555,0.05950236809175592
heriot,0.017908001806506382,0.031229549192433675,0.07408404799162717,0.07303309752183594,0.0,0.15757925936681,0.06691376347275912,0.009192796556538933,0.01749434297189718,0.018211084659877478
margaret,0.03955162687326357,0.040809723659343405,0.09315911051412133,0.21015744082902382,0.15757925936681,0.0,0.12842608787584292,0.0874035574297975,0.08741597077312689,0.08072353839182378
mungo,0.02616254395631882,0.01501863593918915,0.040255134923310634,0.0437734189384357,0.06691376347275912,0.12842608787584292,0.0,0.02267433235180171,0.03319882618129331,0.04870525376837657
george heriot,0.017686234155587233,0.010535249973968248,0.03753153512622523,0.03631269447613552,0.009192796556538933,0.0874035574297975,0.02267433235180171,0.0,0.0216377571768307,0.0443328227154601
james,0.01703494097054785,0.014748844493464655,0.04522187068561457,0.036600142746356555,0.01749434297189718,0.08741597077312689,0.03319882618129331,0.0216377571768307,0.0,0.06432766991690263
huntinglen,0.019380104240396562,0.01321492209108475,0.011004747518507364,0.05950236809175592,0.018211084659877478,0.08072353839182378,0.04870525376837657,0.0443328227154601,0.06432766991690263,0.0
