,halbert,piercie shafton,edward,abbot,mary,mary avenel,halbert glendinning,christie,eustace,murray
halbert,0.0,0.038667244534332,0.029231784645850092,0.0211578678022002,0.03334441958379577,0.009351632108234547,0.002744447245342259,0.018167500443222996,0.040595546223405096,0.1531428330957725
piercie shafton,0.038667244534332,0.0,0.04531730473776168,0.10609931229509488,0.13146567301712933,0.01728719561288303,0.011506993781282136,0.05983342658653077,0.1307355789994508,0.08860541524648276
edward,0.029231784645850092,0.04531730473776168,0.0,0.06919656982633204,0.09360659965259002,0.01693314292714185,0.04423264476314122,0.023282119687875226,0.06796623334999784,0.1091200479384255
abbot,0.0211578678022002,0.10609931229509488,0.06919656982633204,0.0,0.04587692964746476,0.04930768500481822,0.06997758557830097,0.049684158552299636,0.023890503620609748,0.2616717786062915
mary,0.03334441958379577,0.13146567301712933,0.09360659965259002,0.04587692964746476,0.0,0.10564264067694665,0.11483005919199137,0.05923703673421593,0.029156746039941714,0.3412258670331538
mary avenel,0.009351632108234547,0.01728719561288303,0.01693314292714185,0.04930768500481822,0.10564264067694665,0.0,0.04687184547994788,0.0523800812956708,0.13080042057283547,0.265364960301272
halbert glendinning,0.002744447245342259,0.011506993781282136,0.04423264476314122,0.06997758557830097,0.11483005919199137,0.04687184547994788,0.0,0.05858975393350207,0.14666652712976694,0.24393339299439748
christie,0.018167500443222996,0.05983342658653077,0.023282119687875226,0.049684158552299636,0.05923703673421593,0.0523800812956708,0.05858975393350207,0.0,0.09935934184571718,0.29943202410736164
eustace,0.040595546223405096,0.1307355789994508,0.06796623334999784,0.023890503620609748,0.029156746039941714,0.13080042057283547,0.14666652712976694,0.09935934184571718,0.0,0.45990014577728144
murray,0.1531428330957725,0.08860541524648276,0.1091200479384255,0.2616717786062915,0.3412258670331538,0.265364960301272,0.24393339299439748,0.29943202410736164,0.45990014577728144,0.0
