,halbert,piercie shafton,edward,abbot,mary,mary avenel,halbert glendinning,christie,eustace,murray
halbert,0.0,0.04078514156568854,0.03091320659438646,0.02132185186306592,0.03277590791927033,0.009896570724531747,0.0028107740258528613,0.01860323081983035,0.03986515707044129,0.1650948507081641
piercie shafton,0.04078514156568854,0.0,0.04684822091283514,0.10789652920120613,0.13203128171829523,0.017673881442211416,0.011863219003394125,0.06112914037937853,0.13092628967539063,0.09588695612372052
edward,0.03091320659438646,0.04684822091283514,0.0,0.07053253761832347,0.09392475551573203,0.0176180354537474,0.04650716510335436,0.02392858348267109,0.06740268206542377,0.11820543599162923
abbot,0.02132185186306592,0.10789652920120613,0.07053253761832347,0.0,0.04579141889504586,0.05128050753422998,0.07232023081079463,0.05145059202114939,0.023835239285553634,0.27857673181696674
mary,0.03277590791927033,0.13203128171829523,0.09392475551573203,0.04579141889504586,0.0,0.10762671387923116,0.11713303786376379,0.06099245268657063,0.02888043738121359,0.36033551297065514
mary avenel,0.009896570724531747,0.017673881442211416,0.0176180354537474,0.05128050753422998,0.10762671387923116,0.0,0.04849749488685481,0.05361090334046615,0.13153124096893443,0.2834216344102038
halbert glendinning,0.0028107740258528613,0.011863219003394125,0.04650716510335436,0.07232023081079463,0.11713303786376379,0.04849749488685481,0.0,0.06021636920807375,0.14735374279137584,0.26138531883915994
christie,0.01860323081983035,0.06112914037937853,0.02392858348267109,0.05145059202114939,0.06099245268657063,0.05361090334046615,0.06021636920807375,0.0,0.09937178240457603,0.3185287280201203
eustace,0.03986515707044129,0.13092628967539063,0.06740268206542377,0.023835239285553634,0.02888043738121359,0.13153124096893443,0.14735374279137584,0.09937178240457603,0.0,0.4813654669421401
murray,0.1650948507081641,0.09588695612372052,0.11820543599162923,0.27857673181696674,0.36033551297065514,0.2834216344102038,0.26138531883915994,0.3185287280201203,0.4813654669421401,0.0
