,hartley,gray,middlemas,richard,witherington,moncada,menie,richard middlemas,menie gray,lawford
hartley,0.0,0.22866532571346848,0.009732458452747046,0.02748653745962445,0.0013516379014077164,0.038520416454291814,0.030833096106639226,0.01422992518280048,0.007634001442504336,0.08877166568685964
gray,0.22866532571346848,0.0,0.17607141256501452,0.02519063091230504,0.13324410767632652,0.009272871970550317,0.0072383096628604315,0.011135428425579729,0.026008851310348257,0.0012033143406307368
middlemas,0.009732458452747046,0.17607141256501452,0.0,0.05350073808127624,0.05972349791215785,0.03304115987654882,0.021212317717495613,0.012156554274122705,0.011104392382833754,0.06268278377678399
richard,0.02748653745962445,0.02519063091230504,0.05350073808127624,0.0,0.07643511423218098,0.025946436951693613,0.021351449410698584,0.015253296858637844,0.04243605832110944,0.03996109440964061
witherington,0.0013516379014077164,0.13324410767632652,0.05972349791215785,0.07643511423218098,0.0,0.16746400155539015,0.23216891919441285,0.16210917742327113,0.19471130733925837,0.2928428205851774
moncada,0.038520416454291814,0.009272871970550317,0.03304115987654882,0.025946436951693613,0.16746400155539015,0.0,0.07572449620756877,0.08197182302227932,0.13559220196456198,0.024462271785796078
menie,0.030833096106639226,0.0072383096628604315,0.021212317717495613,0.021351449410698584,0.23216891919441285,0.07572449620756877,0.0,0.06406036848053417,0.07895786494675593,0.09221291150924052
richard middlemas,0.01422992518280048,0.011135428425579729,0.012156554274122705,0.015253296858637844,0.16210917742327113,0.08197182302227932,0.06406036848053417,0.0,0.05465562629574525,0.12184128187290917
menie gray,0.007634001442504336,0.026008851310348257,0.011104392382833754,0.04243605832110944,0.19471130733925837,0.13559220196456198,0.07895786494675593,0.05465562629574525,0.0,0.2638818875537251
lawford,0.08877166568685964,0.0012033143406307368,0.06268278377678399,0.03996109440964061,0.2928428205851774,0.024462271785796078,0.09221291150924052,0.12184128187290917,0.2638818875537251,0.0
