,everard,alice,wildrake,cromwell,albert,henry,joceline,rochecliffe,charles,pearson
everard,0.0,0.04592971259813195,0.008851400100447564,0.04966827315542675,0.056244870428596196,0.023702038819839837,0.021463346433362725,0.01870021370088669,0.01477704327238455,0.06827517447746524
alice,0.04592971259813195,0.0,0.0880627519346081,0.08680714560407372,0.02741443320994556,0.007561332387811663,0.006151607841798803,0.011079959517697274,0.003815677659083194,0.0918452367637544
wildrake,0.008851400100447564,0.0880627519346081,0.0,0.12510633180721703,0.09223966899526337,0.046289457685593574,0.04049430182116357,0.07214867215064832,0.04843901069624091,0.14857669110770594
cromwell,0.04966827315542675,0.08680714560407372,0.12510633180721703,0.0,0.1422223476180145,0.09668171473744745,0.08771752116453915,0.0721438046224998,0.101818339604931,0.002504312318364561
albert,0.056244870428596196,0.02741443320994556,0.09223966899526337,0.1422223476180145,0.0,0.07889035984580697,0.08180831049355825,0.05723368514199954,0.04756309647280328,0.1491128537661988
henry,0.023702038819839837,0.007561332387811663,0.046289457685593574,0.09668171473744745,0.07889035984580697,0.0,0.021978548877698064,0.05676264528708602,0.05680082007381693,0.16150971374923537
joceline,0.021463346433362725,0.006151607841798803,0.04049430182116357,0.08771752116453915,0.08180831049355825,0.021978548877698064,0.0,0.13352407181410894,0.11279567399037826,0.222490020418834
rochecliffe,0.01870021370088669,0.011079959517697274,0.07214867215064832,0.0721438046224998,0.05723368514199954,0.05676264528708602,0.13352407181410894,0.0,0.042717426994633954,0.11061602963065056
charles,0.01477704327238455,0.003815677659083194,0.04843901069624091,0.101818339604931,0.04756309647280328,0.05680082007381693,0.11279567399037826,0.042717426994633954,0.0,0.14565855172414557
pearson,0.06827517447746524,0.0918452367637544,0.14857669110770594,0.002504312318364561,0.1491128537661988,0.16150971374923537,0.222490020418834,0.11061602963065056,0.14565855172414557,0.0
