,everard,alice,wildrake,cromwell,albert,henry,joceline,rochecliffe,charles,pearson
everard,0.0,0.0443436223803165,0.008780394272869998,0.04610929548314833,0.052699330488981753,0.023115716926962508,0.021066082888907094,0.01791112750327886,0.013980893576616804,0.06261786484241913
alice,0.0443436223803165,0.0,0.08725732294224028,0.08225180528161163,0.02577019321245398,0.007297502861523888,0.006041724483313583,0.010666314895104707,0.0036669649535362044,0.08468115904371719
wildrake,0.008780394272869998,0.08725732294224028,0.0,0.11782170035876079,0.08809050172729307,0.04545202531503535,0.03984911673212506,0.06936422706106593,0.04624434634893071,0.13739594501687816
cromwell,0.04610929548314833,0.08225180528161163,0.11782170035876079,0.0,0.13308183877589105,0.09345624938693778,0.08577353064026146,0.06832236026365793,0.0950084869675692,0.0022846727520804137
albert,0.052699330488981753,0.02577019321245398,0.08809050172729307,0.13308183877589105,0.0,0.07699297694972064,0.07993307339236133,0.054579863262950085,0.04480755651050405,0.1386924564615116
henry,0.023115716926962508,0.007297502861523888,0.04545202531503535,0.09345624938693778,0.07699297694972064,0.0,0.021279919382687276,0.053881443828055146,0.05372692250741411,0.15009219881722635
joceline,0.021066082888907094,0.006041724483313583,0.03984911673212506,0.08577353064026146,0.07993307339236133,0.021279919382687276,0.0,0.12853130369570523,0.10903926333149355,0.20811643966310983
rochecliffe,0.01791112750327886,0.010666314895104707,0.06936422706106593,0.06832236026365793,0.054579863262950085,0.053881443828055146,0.12853130369570523,0.0,0.04062185060776433,0.10316872179146977
charles,0.013980893576616804,0.0036669649535362044,0.04624434634893071,0.0950084869675692,0.04480755651050405,0.05372692250741411,0.10903926333149355,0.04062185060776433,0.0,0.13504956771105978
pearson,0.06261786484241913,0.08468115904371719,0.13739594501687816,0.0022846727520804137,0.1386924564615116,0.15009219881722635,0.20811643966310983,0.10316872179146977,0.13504956771105978,0.0
